metric,score,weighted_score,is_confident,score_4,category,experiment,repository,scenario_id,model,score_5,score_3,score_2
accuracy,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,1.0,,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,1.0,,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,1.0,,
completeness,5,5.0,True,,GenerateBaseComponent,component_generation,,1,o3-mini,1.0,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,o3-mini,1.0,,
completeness,5,4.95,True,0.05,GenerateReactApp,component_generation,,2,o3-mini,0.95,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,1.0,,
completeness,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,1.0,,
accuracy,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,1.0,,
completeness,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,1.0,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,
completeness,5,5.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,1.0,,
completeness,5,5.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,1.0,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,1.0,,
completeness,4,4.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,,
accuracy,4,4.32,False,0.68,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,0.32,,
completeness,5,5.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,1.0,,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,1.0,,
completeness,4,4.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,
accuracy,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,1.0,,
completeness,4,3.99,True,0.99,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,0.01,
accuracy,3,3.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,1.0,
completeness,4,3.68,False,0.68,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,0.32,
accuracy,4,4.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,,
completeness,5,4.94,True,0.06,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,0.94,,
accuracy,4,4.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,1.0,,
accuracy,4,4.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,1.0,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,1.0,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,1.0,,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,1.0,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,1.0,,
accuracy,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,
completeness,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,
accuracy,4,4.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,,
completeness,4,4.01,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,0.01,,
accuracy,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,1.0,,
completeness,5,4.95,True,0.05,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,0.95,,
accuracy,5,4.98,True,0.02,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,0.98,,
completeness,5,4.95,True,0.05,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,0.95,,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,1.0,,
completeness,4,3.73,False,0.73,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,0.27,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,1.0,,
completeness,3,2.99,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,0.99,0.01
