metric,score,weighted_score,is_confident,score_4,score_3,category,experiment,repository,scenario_id,model,score_2,score_5,score_1
completeness,4,4.0,True,1.0,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,,
accuracy,4,4.0,True,1.0,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,
completeness,5,5.0,True,,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,1.0,
accuracy,4,4.05,True,0.95,,GenerateBaseComponent,component_generation,,1,o3-mini,,0.05,
completeness,5,5.0,True,,,GenerateBaseComponent,component_generation,,1,o3-mini,,1.0,
accuracy,5,5.0,True,,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,1.0,
accuracy,5,5.0,True,,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,
completeness,5,5.0,True,,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,
accuracy,5,5.0,True,,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,1.0,
accuracy,4,4.01,True,0.99,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,0.01,
completeness,3,3.15,False,0.15,0.85,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,
accuracy,5,4.99,True,0.01,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,0.99,
completeness,2,1.9,False,,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,0.9,,0.1
accuracy,5,5.0,True,,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,,1.0,
completeness,1,1.27,False,,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,0.27,,0.73
accuracy,4,4.0,True,1.0,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,
completeness,1,1.0,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,1.0
accuracy,4,4.04,True,0.96,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,0.04,
completeness,1,1.0,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,,,1.0
accuracy,3,3.0,True,,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,
completeness,4,3.62,False,0.62,0.38,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,
accuracy,4,4.1,False,0.9,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,0.1,
completeness,2,2.15,False,,0.15,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,0.85,,
accuracy,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,1.0,
completeness,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,,1.0,
accuracy,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,
completeness,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,
accuracy,5,5.0,True,,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,1.0,
completeness,4,4.03,True,0.97,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,0.03,
accuracy,5,5.0,True,,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,1.0,
completeness,5,5.0,True,,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,1.0,
accuracy,5,5.0,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,1.0,
completeness,2,2.27,False,,0.27,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,0.73,,
accuracy,3,3.0,True,,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,
completeness,4,3.9,False,0.9,0.1,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,,,
accuracy,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,1.0,
completeness,1,1.03,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,0.03,,0.97
accuracy,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,1.0,
completeness,2,2.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,1.0,,
accuracy,2,2.0,True,,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,1.0,,
completeness,3,3.0,True,,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,
accuracy,2,2.0,True,,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,1.0,,
completeness,3,3.01,True,0.01,0.99,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,,,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,1.0,
completeness,4,4.01,True,0.99,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,0.01,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,1.0,
completeness,4,4.04,True,0.96,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,0.04,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,1.0,
completeness,4,4.01,True,0.99,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,,0.01,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,1.0,
completeness,5,4.82,False,0.18,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,,0.82,
accuracy,3,2.78,False,,0.78,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,0.22,,
completeness,4,4.0,True,1.0,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,
accuracy,3,2.98,True,,0.98,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,0.02,,
completeness,3,2.9,False,,0.9,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,0.1,,
accuracy,3,3.01,True,0.01,0.99,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,,
completeness,4,4.08,True,0.92,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,0.08,
accuracy,3,3.0,True,,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,,
completeness,5,4.98,True,0.02,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,0.98,
accuracy,3,3.38,False,0.38,0.62,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,,
completeness,3,3.01,True,0.01,0.99,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,,
accuracy,3,3.0,True,,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,,,
completeness,3,2.68,False,,0.68,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,0.32,,
