metric,score,weighted_score,is_confident,score_1,category,experiment,repository,scenario_id,model,score_2,score_3,score_4,score_5
accuracy,2,2.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
completeness,2,2.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,4,4.02,True,,GenerateReactApp,component_generation,,2,o3-mini,,,0.98,0.02
completeness,3,3.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
accuracy,2,2.02,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,0.98,0.02,,
completeness,3,3.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,1.0,,
accuracy,4,4.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,,1.0,
completeness,3,3.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
accuracy,3,2.98,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,0.02,0.98,,
completeness,2,2.0,True,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,1.0,,,
accuracy,3,3.0,True,,GenerateReactApp,component_generation,,2,o3-mini,,1.0,,
completeness,3,2.96,True,,GenerateReactApp,component_generation,,2,o3-mini,0.04,0.96,,
accuracy,3,3.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,,1.0,,
completeness,3,2.99,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,claude-3-7-sonnet@20250219,0.01,0.99,,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,,,,1.0
completeness,2,2.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,o3-mini,1.0,,,
accuracy,2,2.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,1.0,,,
completeness,1,1.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,claude-3-7-sonnet@20250219,,,,
accuracy,3,2.68,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,0.32,0.68,,
completeness,2,2.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,claude-3-7-sonnet@20250219,,,,
accuracy,3,2.97,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,0.03,0.97,,
completeness,1,1.22,False,0.78,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,o3-mini,0.22,,,
accuracy,1,1.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,claude-3-7-sonnet@20250219,,,,
accuracy,3,3.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,1.0,,
completeness,1,1.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,o3-mini,,,,
accuracy,2,1.68,False,0.32,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,0.68,,,
completeness,2,1.98,True,0.02,GenerateProjectConfiguration,solution_template_generation,,24,claude-3-7-sonnet@20250219,0.98,,,
accuracy,2,2.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,1.0,,,
completeness,3,3.0,True,,GenerateProjectConfiguration,solution_template_generation,,24,o3-mini,,1.0,,
accuracy,2,2.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,1.0,,,
completeness,4,4.01,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,claude-3-7-sonnet@20250219,,,0.99,0.01
accuracy,2,2.12,False,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,0.88,0.12,,
completeness,4,4.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,o3-mini,,,1.0,
accuracy,1,1.01,True,0.99,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,0.01,,,
completeness,1,1.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,1.0,,,
completeness,2,2.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,claude-3-7-sonnet@20250219,,,,
accuracy,3,3.08,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,,0.92,0.08,
completeness,2,2.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,o3-mini,1.0,,,
accuracy,1,1.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,,
completeness,1,1.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,claude-3-7-sonnet@20250219,,,,
accuracy,2,2.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,1.0,,,
completeness,2,1.9,False,0.1,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,o3-mini,0.9,,,
accuracy,2,2.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,1.0,,,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,claude-3-7-sonnet@20250219,,,,1.0
accuracy,3,3.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,1.0,,
completeness,3,3.5,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,o3-mini,,0.5,0.5,
accuracy,3,2.98,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,0.02,0.98,,
completeness,2,2.44,False,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,claude-3-7-sonnet@20250219,0.56,0.44,,
accuracy,2,2.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,1.0,,,
completeness,3,2.56,False,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,o3-mini,0.44,0.56,,
accuracy,1,1.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,,,,
completeness,3,2.97,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,claude-3-7-sonnet@20250219,0.03,0.97,,
accuracy,3,3.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,1.0,,
completeness,3,3.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,o3-mini,,1.0,,
accuracy,3,3.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,1.0,,
completeness,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,claude-3-7-sonnet@20250219,,,,1.0
accuracy,3,3.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,1.0,,
completeness,3,3.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,o3-mini,,1.0,,
accuracy,3,3.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,,1.0,,
completeness,1,1.5,False,0.5,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,claude-3-7-sonnet@20250219,0.5,,,
accuracy,2,2.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,1.0,,,
completeness,2,1.98,True,0.02,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,o3-mini,0.98,,,
